customer_id,last_purchase_date,monetary,frequency,avg_transaction_value,recency,r_score,f_score,m_score,rfm_score_str,rfm_score,rfm_segment,avg_order_value,monetary_rank,frequency_rank,recency_rank,value_tier,avg_days_between_purchases,purchase_consistency,days_since_first_purchase,purchase_span_days,unique_products_bought,unique_categories_bought,preferred_category,category_concentration,product_diversity_level,transaction_value_std,min_transaction_value,max_transaction_value,total_spending,transaction_count,spending_volatility,spending_trend,trend_direction,engagement_score,loyalty_indicator,preferred_day_of_week,weekend_purchase_ratio,weekend_spending_ratio,q1.0_count,q2.0_count,q3.0_count,q4.0_count,seasonal_variation,preferred_quarter,first_purchase_date,total_transactions,customer_tenure_days,recency_days,active_period_days,purchase_velocity,lifecycle_stage,expected_days_to_purchase,days_overdue,churn_risk
5600,2025-10-06,95781712.8,30,3192723.76,-279,5,5,4,554,4.6,Champions,3192723.76,68.55,90.42,83.42,Gold,,0.0,93.0,,13,,,,High,3651841.1143818563,378000.0,19621621.8,95781712.8,30,1.144,0.771,Growing,53.38,Medium,Saturday,0.233,0.155,4.0,6.0,1.0,3.0,0.515,2.0,2024-02-10,14.0,670.0,66.0,604.0,0.627,Veteran,46.46153846153846,19.53846153846154,At Risk
5601,,28644438.0,3,9548146.0,719,2,2,3,223,2.4,Need Attention,9548146.0,47.79,41.77,18.12,Silver,,,,,3,,,,Low,7015685.967492274,4141410.0,17476000.0,28644438.0,3,0.735,0.538,Growing,33.19,Medium,,,,,,,,,,,,,,,,,,,
5602,2024-06-05,62322500.0,7,8903214.285714285,209,3,4,4,344,3.75,Loyal Customers,8903214.29,61.18,66.03,45.45,Gold,,0.0,,,5,,,,Medium,17325335.417284958,120000.0,47812500.0,62322500.0,7,1.946,1.902,Growing,43.47,Medium,Wednesday,0.0,0.0,4.0,2.0,0.0,0.0,1.106,1.0,2024-01-02,6.0,709.0,554.0,155.0,0.254,Veteran,31.0,523.0,Churned
5603,,674672000.0,9,74963555.55555555,719,2,4,5,245,3.9,Need Attention,74963555.56,89.8,71.56,18.12,Platinum,,,,,6,,,,Medium,60326090.36542795,6800000.0,165750000.0,674672000.0,9,0.805,0.134,Growing,56.54,Medium,,,,,,,,,,,,,,,,,,,
5750,2025-10-12,174748133.49,13,13442164.114615384,-285,5,4,4,544,4.25,Champions,13442164.11,76.78,79.36,87.53,Platinum,,1.0,60.0,,13,,,,High,14628736.837070841,954000.0,45000000.0,174748133.49,13,1.088,-0.331,Declining,86.68,High,Tuesday,0.154,0.418,0.0,4.0,0.0,2.0,1.106,2.0,2025-06-10,6.0,184.0,60.0,124.0,0.978,Mature,24.8,35.2,Dormant
5751,,14850000.0,3,4950000.0,719,2,2,2,222,2.0,Need Attention,4950000.0,37.22,41.77,18.12,Silver,,,,,3,,,,Low,3683408.7473426023,1800000.0,9000000.0,14850000.0,3,0.744,-0.675,Declining,28.97,Medium,,,,,,,,,,,,,,,,,,,
5800,2025-12-09,487494000.0,14,34821000.0,-343,5,5,5,555,5.0,Champions,34821000.0,87.22,80.59,97.97,Platinum,,0.0,93.0,-616.0,6,,,,Medium,46091992.463233456,1948000.0,153750000.0,487494000.0,14,1.324,0.926,Growing,55.51,Medium,Tuesday,0.0,0.0,3.0,0.0,1.0,1.0,0.872,1.0,2024-01-02,5.0,709.0,2.0,707.0,0.212,Veteran,176.75,-174.75,Active
5850,2025-11-06,252291618.0,45,5606480.4,-310,5,5,5,555,5.0,Champions,5606480.4,81.7,93.12,90.05,Platinum,,0.0,678.0,,22,,,,High,6139429.012361402,217000.0,35122500.0,252291618.0,45,1.095,0.074,Stable,60.56,Medium,Sunday,0.378,0.382,2.0,8.0,6.0,7.0,0.396,2.0,2024-02-02,23.0,678.0,35.0,643.0,1.018,Veteran,29.227272727272727,5.772727272727273,At Risk
5851,2024-04-06,25385940.0,9,2820660.0,269,3,4,3,343,3.35,Loyal Customers,2820660.0,45.21,71.56,41.71,Silver,,,,,5,,,,Medium,2044199.7914587506,658000.0,7045400.0,25385940.0,9,0.725,-0.404,Declining,37.08,Medium,Saturday,0.111,0.183,0.0,1.0,0.0,0.0,1.732,2.0,2024-04-06,1.0,614.0,614.0,0.0,0.049,Veteran,365.0,249.0,Churned
5900,2024-01-02,17400000.0,1,17400000.0,364,2,1,3,213,2.05,Other,17400000.0,40.54,9.58,38.33,Silver,,,709.0,0.0,1,,,,Low,0.0,17400000.0,17400000.0,17400000.0,1,0.0,0.0,Stable,19.55,Low,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,1.732,1.0,2024-01-02,1.0,709.0,709.0,0.0,0.042,Veteran,365.0,344.0,Churned
5901,2024-02-02,8960000.0,2,4480000.0,333,2,2,2,222,2.0,Need Attention,4480000.0,28.87,27.7,39.25,Silver,,,,,2,,,,Low,4270924.958366747,1460000.0,7500000.0,8960000.0,2,0.953,-0.805,Declining,21.13,Medium,Friday,0.0,0.0,1.0,0.0,0.0,0.0,1.732,1.0,2024-02-02,1.0,678.0,678.0,0.0,0.044,Veteran,365.0,313.0,Churned
5950,2025-07-01,476316000.0,16,29769750.0,-182,4,5,5,455,4.75,Champions,29769750.0,86.98,82.56,71.74,Platinum,,1.0,,,12,,,,High,47446129.05250192,326000.0,180000000.0,476316000.0,16,1.594,0.228,Growing,90.33,High,Tuesday,0.0,0.0,0.0,0.0,2.0,0.0,1.732,3.0,2025-07-01,2.0,163.0,163.0,0.0,0.368,Established,0.0,163.0,Churned
6000,2024-02-02,1587000.0,2,793500.0,333,2,2,1,221,1.6,About To Sleep,793500.0,7.37,27.7,39.25,Bronze,0.0,1.0,678.0,0.0,2,,,,Low,894490.0782009827,161000.0,1426000.0,1587000.0,2,1.127,-0.887,Declining,42.53,Medium,Friday,0.0,0.0,2.0,0.0,0.0,0.0,1.732,1.0,2024-02-02,2.0,678.0,678.0,0.0,0.088,Veteran,0.0,678.0,Churned
6050,2024-06-02,2360000.0,1,2360000.0,212,3,1,1,311,1.5,Promising,2360000.0,11.0,9.58,45.09,Bronze,,,557.0,0.0,1,,,,Low,0.0,2360000.0,2360000.0,2360000.0,1,0.0,0.0,Stable,7.73,Low,Sunday,1.0,1.0,0.0,1.0,0.0,0.0,1.732,2.0,2024-06-02,1.0,557.0,557.0,0.0,0.054,Veteran,365.0,192.0,Churned
6051,2025-12-02,106133898.0,15,7075593.2,-336,5,5,4,554,4.6,Champions,7075593.2,69.9,81.57,94.9,Gold,,0.0,,,11,,,,High,8615976.162163006,207000.0,34720000.0,106133898.0,15,1.218,-0.332,Declining,52.95,Medium,Sunday,0.267,0.119,0.0,1.0,0.0,8.0,1.487,4.0,2024-06-02,9.0,557.0,9.0,548.0,0.485,Veteran,68.5,-59.5,Active
6100,2024-08-03,110712421.05,3,36904140.35,150,3,2,4,324,3.05,Promising,36904140.35,70.88,41.77,48.89,Gold,0.0,1.0,495.0,0.0,3,,,,Low,40609268.205432214,13458368.42,83795684.21,110712421.05,3,1.1,2.613,Growing,72.43,High,Saturday,1.0,1.0,0.0,0.0,3.0,0.0,1.732,3.0,2024-08-03,3.0,495.0,495.0,0.0,0.182,Veteran,0.0,495.0,Churned
6101,2024-05-04,2881954284.0,5,576390856.8,241,3,3,5,335,3.8,Loyal Customers,576390856.8,97.42,57.68,43.61,Platinum,,1.0,586.0,,5,,,,Medium,504076862.4815422,24000000.0,1038248844.0,2881954284.0,5,0.875,-0.592,Declining,87.97,High,Saturday,0.6,0.981,0.0,3.0,0.0,0.0,1.732,2.0,2024-05-04,3.0,586.0,586.0,0.0,0.154,Veteran,0.0,586.0,Churned
